Date,Time Detected,Species,Family,Order
10/01/23,0:07:45,N/A,parulidae,passeriformes
10/01/23,0:15:22,N/A,N/A,passeriformes
10/01/23,0:18:55,whtspa,passerellidae,passeriformes
10/01/23,0:29:17,N/A,N/A,passeriformes
10/01/23,0:35:07,savspa,passerellidae,passeriformes
10/01/23,1:10:52,N/A,ardeidae,pelecaniformes
10/01/23,1:15:19,N/A,ardeidae,pelecaniformes
10/01/23,1:32:03,zeep,parulidae,passeriformes
10/01/23,1:33:04,whtspa,passerellidae,passeriformes
10/01/23,1:49:48,N/A,parulidae,passeriformes
10/01/23,1:49:48,N/A,N/A,passeriformes
10/01/23,1:56:48,dewa,parulidae,passeriformes
10/01/23,1:56:49,norpar,parulidae,passeriformes
10/01/23,2:01:21,N/A,N/A,passeriformes
10/01/23,2:13:32,N/A,parulidae,passeriformes
10/01/23,2:16:19,N/A,parulidae,passeriformes
10/01/23,2:20:26,grnher,ardeidae,pelecaniformes
10/01/23,2:42:06,N/A,N/A,passeriformes
10/01/23,2:44:27,sfhs,passerellidae,passeriformes
10/01/23,2:44:27,N/A,N/A,passeriformes
10/01/23,2:48:54,N/A,N/A,passeriformes
10/01/23,3:04:42,zeep,parulidae,passeriformes
10/01/23,3:04:42,N/A,parulidae,passeriformes
10/01/23,3:13:39,N/A,N/A,passeriformes
10/01/23,3:25:58,N/A,ardeidae,pelecaniformes
10/01/23,4:53:03,zeep,parulidae,passeriformes
10/01/23,4:53:39,N/A,parulidae,passeriformes
10/01/23,5:00:38,N/A,parulidae,passeriformes
10/01/23,5:06:57,N/A,N/A,passeriformes
10/01/23,5:06:58,zeep,parulidae,passeriformes
10/01/23,5:07:02,savspa,passerellidae,passeriformes
10/01/23,5:10:48,N/A,passerellidae,passeriformes
10/01/23,5:11:26,N/A,passerellidae,passeriformes
10/01/23,5:36:25,zeep,parulidae,passeriformes
10/01/23,5:38:59,zeep,parulidae,passeriformes
10/01/23,5:47:03,N/A,N/A,passeriformes
10/01/23,5:47:47,N/A,N/A,passeriformes
10/01/23,5:49:57,N/A,passerellidae,passeriformes
10/01/23,5:50:32,N/A,parulidae,passeriformes
10/01/23,5:50:32,N/A,N/A,passeriformes
10/01/23,5:50:38,N/A,parulidae,passeriformes
10/01/23,6:05:57,N/A,N/A,passeriformes
10/01/23,6:18:37,N/A,N/A,passeriformes
10/01/23,6:18:37,savspa,passerellidae,passeriformes
10/01/23,6:27:58,N/A,N/A,passeriformes
10/02/23,18:58:01,N/A,cuculidae,cuculiformes
10/02/23,18:58:33,N/A,cuculidae,cuculiformes
10/02/23,19:03:15,zeep,parulidae,passeriformes
10/02/23,19:25:22,N/A,ardeidae,pelecaniformes
10/02/23,19:25:38,N/A,N/A,passeriformes
10/02/23,19:26:57,N/A,N/A,passeriformes
10/02/23,19:29:38,N/A,parulidae,passeriformes
10/02/23,19:44:18,N/A,ardeidae,pelecaniformes
10/02/23,19:46:29,N/A,ardeidae,pelecaniformes
10/02/23,20:01:48,N/A,N/A,passeriformes
10/02/23,20:13:13,N/A,ardeidae,pelecaniformes
10/02/23,20:13:24,N/A,cuculidae,cuculiformes
10/02/23,20:19:53,N/A,N/A,passeriformes
10/02/23,20:20:00,N/A,N/A,passeriformes
10/02/23,20:38:24,N/A,ardeidae,pelecaniformes
10/02/23,20:55:21,N/A,ardeidae,pelecaniformes
10/02/23,21:02:17,zeep,parulidae,passeriformes
10/02/23,21:20:46,N/A,N/A,passeriformes
10/02/23,21:47:25,N/A,N/A,passeriformes
10/02/23,22:14:56,N/A,passerellidae,passeriformes
10/02/23,22:14:56,swli,passerellidae,passeriformes
10/02/23,22:21:22,N/A,N/A,passeriformes
10/02/23,22:32:07,sbuf,parulidae,passeriformes
10/02/23,22:51:33,N/A,turdidae,passeriformes
10/02/23,22:51:33,N/A,N/A,passeriformes
10/02/23,23:14:07,N/A,parulidae,passeriformes
10/02/23,23:14:07,amered,parulidae,passeriformes
10/02/23,23:47:21,N/A,parulidae,passeriformes
10/02/23,23:47:21,zeep,parulidae,passeriformes
10/02/23,23:47:26,N/A,N/A,passeriformes
10/02/23,23:47:27,desp,passerellidae,passeriformes
10/02/23,23:53:33,N/A,passerellidae,passeriformes
10/02/23,23:53:33,sfhs,passerellidae,passeriformes
10/03/23,0:14:32,N/A,N/A,passeriformes
10/03/23,0:18:27,N/A,N/A,passeriformes
10/03/23,0:24:28,N/A,N/A,passeriformes
10/03/23,0:29:19,N/A,N/A,passeriformes
10/03/23,0:37:26,savspa,passerellidae,passeriformes
10/03/23,0:47:26,N/A,N/A,passeriformes
10/03/23,0:47:30,N/A,N/A,passeriformes
10/03/23,0:47:35,swathr,turdidae,passeriformes
10/03/23,1:41:48,N/A,N/A,passeriformes
10/03/23,2:04:13,N/A,N/A,passeriformes
10/03/23,2:29:53,N/A,N/A,passeriformes
